Small Unit Installation Postcode,Previous Years (2001-2018) - Installations Quantity,Jan 2019 - Installations Quantity,Feb 2019 - Installations Quantity,Mar 2019 - Installations Quantity,Apr 2019 - Installations Quantity,May 2019 - Installations Quantity,Jun 2019 - Installations Quantity,Jul 2019 - Installations Quantity,Aug 2019 - Installations Quantity,Sep 2019 - Installations Quantity,Oct 2019 - Installations Quantity,Nov 2019 - Installations Quantity,Dec 2019 - Installations Quantity,Jan 2020 - Installations Quantity,Feb 2020 - Installations Quantity,Mar 2020 - Installations Quantity,Apr 2020 - Installations Quantity,Installations Quantity Total
0000,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677
0200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0800,84,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,89
0801,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
0804,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23
0810,"2,929",14,15,12,9,13,6,7,10,12,18,8,6,1,7,3,0,"3,070"
0811,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0812,"2,057",6,12,4,5,12,21,8,7,11,7,7,8,4,13,1,0,"2,183"
0813,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
0814,32,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,35
0820,"1,114",1,4,2,3,6,3,12,3,4,4,1,6,1,2,4,0,"1,170"
0821,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
0822,596,9,10,14,3,12,9,14,10,5,2,0,12,0,5,4,0,705
0825,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0826,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0828,127,1,0,6,2,2,0,3,3,5,2,2,4,0,1,0,0,158
0829,31,3,1,3,0,91,0,2,0,2,0,0,0,0,0,0,0,133
0830,"2,437",9,3,9,8,20,8,9,9,7,14,6,6,4,7,4,2,"2,562"
0831,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
0832,"2,322",10,5,11,2,12,9,12,15,11,12,7,3,3,0,3,0,"2,437"
0834,30,0,0,0,1,0,2,0,0,0,1,1,2,0,0,1,0,38
0835,443,2,1,2,5,1,2,1,2,0,1,0,2,2,1,1,0,466
0836,668,1,0,2,3,1,2,5,2,1,2,1,2,0,1,1,0,692
0837,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
0838,57,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,59
0839,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
0840,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
0841,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
0845,59,2,1,0,1,2,4,2,0,0,3,0,0,1,0,0,0,75
0846,27,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,29
0847,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0850,543,0,0,1,1,23,8,1,1,1,0,0,0,0,0,0,0,579
0851,115,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,117
0852,180,0,0,1,0,1,4,4,2,2,2,3,0,0,0,0,0,199
0853,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
0854,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
0860,72,0,0,0,1,1,1,2,5,2,0,5,0,0,0,0,0,89
0861,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
0862,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0870,"2,347",2,4,3,3,5,2,4,5,1,3,4,2,2,2,1,0,"2,390"
0871,107,0,0,1,0,1,0,1,2,1,0,0,0,2,0,0,0,115
0872,427,0,0,0,0,2,2,3,0,0,0,1,0,0,1,0,0,436
0880,256,1,3,0,1,0,0,2,0,0,0,0,1,0,2,2,0,268
0881,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64
0885,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0886,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
0909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1455,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1460,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1475,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1495,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1499,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1590,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1595,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1630,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1639,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1655,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1680,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1685,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1710,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
1715,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1730,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1750,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1755,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1765,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1790,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
1805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1811,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1830,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1848,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
1851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1871,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1875,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1885,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
1890,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1891,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2000,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2008,35,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,38
2009,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2010,62,0,2,0,0,9,0,0,0,0,1,0,0,0,0,0,0,74
2011,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2015,77,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,79
2016,44,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,47
2017,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2018,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2019,53,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,55
2020,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
2021,82,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,85
2022,54,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,1,61
2023,43,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,45
2024,74,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,77
2025,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46
2026,131,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,133
2027,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
2028,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2029,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
2030,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,73
2031,200,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,203
2032,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
2033,36,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,39
2034,105,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,108
2035,251,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,2,259
2036,426,0,0,2,1,0,0,0,0,1,4,2,0,1,0,0,1,438
2037,189,0,0,1,0,2,4,0,0,0,0,0,1,0,0,0,0,197
2038,174,0,1,0,1,3,0,0,0,1,1,1,0,0,0,0,0,182
2039,143,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,149
2040,381,1,4,0,0,4,0,1,1,1,1,1,0,0,1,3,0,399
2041,236,0,0,0,2,0,0,0,1,2,0,0,1,0,0,1,0,243
2042,161,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,166
2043,28,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,30
2044,81,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,85
2045,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62
2046,162,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,167
2047,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
2048,56,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,59
2049,104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,105
2050,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
2055,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2057,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2060,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45
2061,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2062,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2063,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48
2064,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24
2065,126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
2066,229,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,233
2067,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,116
2068,154,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,158
2069,137,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,139
2070,176,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,179
2071,154,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,157
2072,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,68
2073,234,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,237
2074,467,0,2,1,1,1,1,2,0,1,0,1,1,0,0,1,1,480
2075,301,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,304
2076,355,0,0,1,0,0,0,1,0,0,1,3,0,2,0,0,0,363
2077,518,0,1,0,1,2,0,0,1,1,1,2,3,0,1,1,0,532
2079,211,0,0,0,0,0,0,1,0,1,0,0,2,0,1,2,0,218
2080,81,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,83
2081,242,0,1,5,0,4,6,2,0,2,3,2,0,0,1,0,0,268
2082,247,3,8,9,18,22,18,10,7,3,6,2,1,1,1,1,0,357
2083,96,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,99
2084,98,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,101
2085,184,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,186
2086,207,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,208
2087,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227
2088,137,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,143
2089,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2090,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47
2091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2092,86,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,90
2093,209,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,216
2094,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27
2095,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
2096,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94
2097,142,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,146
2098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2099,233,0,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,239
2100,331,0,1,0,0,1,1,0,2,0,0,1,1,0,0,0,0,338
2101,241,1,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,248
2102,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
2103,133,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,136
2104,69,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,71
2105,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54
2106,92,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,98
2107,196,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,200
2108,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
2110,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
2111,133,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,137
2112,289,0,0,0,0,1,1,0,0,1,2,2,3,0,0,0,0,299
2113,250,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,253
2114,209,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,212
2115,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
2116,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
2117,289,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,295
2118,516,1,0,1,0,2,0,1,3,4,0,0,0,0,0,0,0,528
2119,175,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,176
2120,496,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,502
2121,328,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,329
2122,363,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,369
2123,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2124,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2125,293,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,296
2126,229,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,232
2127,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467
2128,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2130,46,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,50
2131,89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90
2132,69,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,71
2133,68,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,70
2134,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57
2135,129,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,132
2136,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2137,168,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,171
2138,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
2139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2140,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2141,129,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,131
2142,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
2143,102,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,105
2144,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
2145,799,1,0,1,0,1,1,2,1,1,0,0,1,0,0,0,0,808
2146,274,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,278
