Small Unit Installation Postcode,Apr 2001 - Installations Quantity,Apr 2001 - SGU Rated Output In kW,May 2001 - Installations Quantity,May 2001 - SGU Rated Output In kW,Sep 2001 - Installations Quantity,Sep 2001 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0837,0,0.000,0,0.000,0,0.000,0,0.000
2484,0,0.000,0,0.000,0,0.000,0,0.000
2527,0,0.000,1,4.000,0,0.000,1,4.000
3409,0,0.000,0,0.000,0,0.000,0,0.000
3691,0,0.000,0,0.000,0,0.000,0,0.000
3740,0,0.000,0,0.000,0,0.000,0,0.000
3777,0,0.000,0,0.000,0,0.000,0,0.000
3898,1,1.000,0,0.000,0,0.000,1,1.000
4521,0,0.000,0,0.000,0,0.000,0,0.000
4873,0,0.000,0,0.000,1,1.500,1,1.500
5048,0,0.000,0,0.000,0,0.000,0,0.000
6171,0,0.000,0,0.000,0,0.000,0,0.000
7012,0,0.000,0,0.000,0,0.000,0,0.000
7109,0,0.000,0,0.000,0,0.000,0,0.000
7150,0,0.000,0,0.000,0,0.000,0,0.000
7261,0,0.000,0,0.000,0,0.000,0,0.000
7302,0,0.000,0,0.000,0,0.000,0,0.000
