Small Unit Installation Postcode,Jan 2001 - Installations Quantity,Apr 2001 - Installations Quantity,May 2001 - Installations Quantity,Jun 2001 - Installations Quantity,Jul 2001 - Installations Quantity,Aug 2001 - Installations Quantity,Sep 2001 - Installations Quantity,Oct 2001 - Installations Quantity,Nov 2001 - Installations Quantity,Dec 2001 - Installations Quantity,Installations Quantity Total
0000,0,19,36,28,33,76,47,31,11,20,301
0200,0,0,0,0,0,0,0,0,0,0,0
0800,0,2,4,3,1,0,0,7,1,0,18
0801,0,0,0,0,0,0,0,2,1,0,3
0804,0,0,0,0,0,0,0,0,0,0,0
0810,0,0,0,0,0,1,3,0,4,3,11
0811,0,0,0,0,0,0,0,0,1,0,1
0812,0,0,1,0,1,0,0,0,2,4,8
0813,0,0,0,0,0,0,0,0,0,0,0
0814,0,0,0,0,0,0,0,0,0,0,0
0820,0,0,0,1,0,2,1,1,0,4,9
0821,0,0,0,0,0,0,0,0,0,0,0
0822,0,0,0,0,0,1,1,0,0,1,3
0825,0,0,0,0,0,0,0,0,0,0,0
0826,0,0,0,0,0,0,0,0,0,0,0
0827,0,0,0,0,0,0,0,0,0,0,0
0828,0,0,0,0,0,0,0,0,0,0,0
0829,0,0,0,0,0,0,0,0,0,0,0
0830,0,0,7,7,1,1,2,0,4,1,23
0831,0,0,0,0,0,0,2,0,0,1,3
0832,0,0,0,0,0,1,0,3,3,3,10
0834,0,0,0,0,0,0,0,0,0,0,0
0835,0,1,0,0,0,1,2,1,1,2,8
0836,0,1,0,2,1,1,1,0,1,1,8
0837,0,0,0,1,0,0,1,0,0,1,3
0838,0,0,0,0,0,0,0,0,0,0,0
0839,0,0,0,0,0,0,0,0,0,0,0
0840,0,0,0,0,0,0,0,0,0,0,0
0841,0,0,0,0,0,0,0,0,0,0,0
0845,0,0,0,0,0,0,0,0,0,0,0
0846,0,0,0,0,0,0,0,0,0,0,0
0847,0,0,0,0,0,0,0,0,0,0,0
0850,0,0,0,0,2,0,0,1,1,0,4
0851,0,0,0,0,0,0,0,0,0,1,1
0852,0,0,0,0,0,0,0,0,0,0,0
0853,0,0,0,0,0,0,0,0,0,0,0
0854,0,0,0,0,0,0,0,0,0,0,0
0860,0,0,0,0,0,0,9,0,0,0,9
0861,0,0,0,0,0,0,0,0,0,0,0
0862,0,0,0,0,0,0,0,0,0,2,2
0870,0,4,0,0,4,1,11,12,12,18,62
0871,0,0,0,0,1,1,0,0,1,0,3
0872,0,0,0,0,0,2,59,1,14,17,93
0880,0,0,0,0,0,0,0,0,0,0,0
0881,0,0,0,0,0,0,0,0,0,0,0
0885,0,0,0,0,0,0,0,0,0,0,0
0886,0,0,0,0,0,0,0,0,0,0,0
0909,0,0,0,0,0,0,0,0,0,0,0
1095,0,0,0,0,0,0,0,0,0,0,0
1174,0,0,0,0,0,0,0,0,0,0,0
1455,0,0,0,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,0,0,0,0
1475,0,0,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0,0,0,0,0
1490,0,0,0,0,0,0,0,0,0,0,0
1495,0,0,0,0,0,0,0,0,0,0,0
1499,0,0,0,0,0,0,0,0,0,0,0
1582,0,0,0,0,0,0,0,0,0,0,0
1590,0,0,0,0,0,0,0,0,0,0,0
1595,0,0,0,0,0,0,0,0,0,0,0
1630,0,0,0,0,0,0,0,0,0,0,0
1639,0,0,0,0,0,0,0,0,0,0,0
1655,0,0,0,0,0,0,0,0,0,0,0
1658,0,0,0,0,0,0,0,0,0,0,0
1675,0,0,0,0,0,0,0,0,0,0,0
1680,0,0,0,0,0,0,0,0,0,0,0
1685,0,0,0,0,0,0,0,0,0,0,0
1700,0,0,0,0,0,0,0,0,0,0,0
1710,0,0,0,0,0,0,0,0,0,0,0
1715,0,0,0,0,0,0,0,0,0,0,0
1730,0,0,0,0,0,0,0,0,0,0,0
1750,0,0,0,0,0,0,0,0,0,0,0
1755,0,0,0,0,0,0,0,0,0,0,0
1765,0,0,0,0,0,0,0,0,0,0,0
1790,0,0,0,0,0,0,0,0,0,0,0
1805,0,0,0,0,0,0,0,0,0,0,0
1811,0,0,0,0,0,0,0,0,0,0,0
1816,0,0,0,0,0,0,0,0,0,0,0
1825,0,0,0,0,0,0,0,0,0,0,0
1830,0,0,0,0,0,0,0,0,0,0,0
1848,0,0,0,0,0,0,0,0,0,0,0
1851,0,0,0,0,0,0,0,0,0,0,0
1871,0,0,0,0,0,0,0,0,0,0,0
1875,0,0,0,0,0,0,0,0,0,0,0
1885,0,0,0,0,0,0,0,0,0,0,0
1890,0,0,0,0,0,0,0,0,0,0,0
1891,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,1,1
2007,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,2,1,0,0,0,0,3
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,1,0,1,0,0,0,0,2
2011,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,1,0,0,1
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,1,1,0,0,2
2018,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,2,0,0,0,0,0,0,2
2021,0,0,0,0,0,0,0,0,0,0,0
2022,0,1,1,0,0,0,1,0,0,0,3
2023,0,0,0,1,0,0,0,0,0,0,1
2024,0,0,0,0,0,1,1,0,0,0,2
2025,0,0,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,1,1,0,0,0,1,3
2027,0,0,0,0,0,1,0,0,0,0,1
2028,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,1,0,0,1
2030,0,0,0,0,1,0,0,1,0,0,2
2031,0,1,0,0,0,0,1,0,3,1,6
2032,0,0,0,0,0,0,0,0,1,0,1
2033,0,0,0,0,0,0,1,0,0,0,1
2034,0,0,0,0,0,0,0,0,1,0,1
2035,0,1,1,0,0,2,0,0,1,0,5
2036,0,2,1,3,0,0,0,1,2,0,9
2037,0,0,0,1,5,1,0,0,5,1,13
2038,0,0,0,2,2,1,0,0,3,0,8
2039,0,0,0,0,0,1,3,0,0,0,4
2040,0,0,0,6,0,2,1,4,3,3,19
2041,0,0,0,0,3,1,1,1,1,1,8
2042,0,0,0,0,0,0,0,0,1,0,1
2043,0,0,0,1,0,0,0,0,0,0,1
2044,0,0,0,0,0,0,0,0,0,0,0
2045,0,0,0,1,0,0,0,0,0,0,1
2046,0,0,0,0,1,0,0,0,2,0,3
2047,0,0,1,0,0,0,0,0,0,0,1
2048,0,0,1,1,1,0,0,0,0,0,3
2049,0,0,0,0,2,0,0,0,3,0,5
2050,0,0,0,0,0,0,0,0,1,0,1
2055,0,0,0,1,0,0,0,0,0,0,1
2057,0,0,0,0,0,0,0,0,0,0,0
2058,0,0,0,0,0,0,0,0,0,0,0
