Small Unit Installation Postcode,Previous Years (2001-2006) - Installations Quantity,Previous Years (2001-2006) - SGU Rated Output In kW,Mar 2008 - Installations Quantity,Mar 2008 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0837,0,0.000,0,0.000,0,0.000
2484,0,0.000,0,0.000,0,0.000
2527,1,4.000,0,0.000,1,4.000
3409,0,0.000,0,0.000,0,0.000
3691,0,0.000,0,0.000,0,0.000
3740,0,0.000,0,0.000,0,0.000
3777,0,0.000,0,0.000,0,0.000
3898,1,1.000,0,0.000,1,1.000
4521,0,0.000,0,0.000,0,0.000
4873,1,1.500,0,0.000,1,1.500
5048,0,0.000,1,1.500,1,1.500
6171,0,0.000,0,0.000,0,0.000
7012,0,0.000,0,0.000,0,0.000
7109,0,0.000,0,0.000,0,0.000
7150,0,0.000,0,0.000,0,0.000
7261,0,0.000,0,0.000,0,0.000
7302,0,0.000,0,0.000,0,0.000
