Small Unit Installation Postcode,Previous Years (2001-2012) - Installations Quantity,Previous Years (2001-2012) - SGU Rated Output In kW,Jul 2013 - Installations Quantity,Jul 2013 - SGU Rated Output In kW,Oct 2013 - Installations Quantity,Oct 2013 - SGU Rated Output In kW,Feb 2014 - Installations Quantity,Feb 2014 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0837,0,0.000,0,0.000,0,0.000,1,4.000,1,4.000
2484,1,1.900,0,0.000,0,0.000,0,0.000,1,1.900
2527,1,4.000,0,0.000,0,0.000,0,0.000,1,4.000
3409,1,1.050,0,0.000,0,0.000,0,0.000,1,1.050
3691,1,1.000,0,0.000,0,0.000,0,0.000,1,1.000
3740,1,0.500,0,0.000,0,0.000,0,0.000,1,0.500
3777,1,0.200,0,0.000,0,0.000,0,0.000,1,0.200
3898,1,1.000,0,0.000,0,0.000,0,0.000,1,1.000
4521,1,0.500,0,0.000,0,0.000,0,0.000,1,0.500
4873,1,1.500,0,0.000,0,0.000,0,0.000,1,1.500
5048,1,1.500,0,0.000,0,0.000,0,0.000,1,1.500
6171,1,1.075,0,0.000,0,0.000,0,0.000,1,1.075
7012,2,2.520,0,0.000,0,0.000,0,0.000,2,2.520
7109,1,5.000,0,0.000,0,0.000,0,0.000,1,5.000
7150,1,0.360,0,0.000,0,0.000,0,0.000,1,0.360
7261,0,0.000,1,6.000,0,0.000,0,0.000,1,6.000
7302,0,0.000,0,0.000,1,6.000,0,0.000,1,6.000
